A,C,B
1,54,31
0,83,79
1,55,38
1,38,20
0,65,70
0,68,70
1,44,47
1,22,9
1,14,1
1,46,25
1,38,21
0,44,67
1,90,11
1,42,43
1,43,44
1,62,46
1,77,26
1,12,0
1,73,38
1,6,4
0,86,71
0,93,90
1,73,32
1,13,8
1,64,40
1,91,25
1,16,5
1,76,19
1,73,23
1,17,21
1,34,27
1,45,36
1,52,28
1,37,21
1,54,57
1,87,17
0,69,63
1,58,34
0,57,66
1,12,24
1,41,20
0,53,97
1,56,23
1,91,12
1,72,15
1,58,30
1,20,7
0,70,65
0,96,81
1,59,28
0,87,82
1,64,42
0,65,91
1,36,21
1,99,34
0,77,77
1,46,43
1,83,14
1,56,34
1,52,30
1,96,36
1,71,36
1,40,23
0,64,83
1,69,36
1,78,29
0,67,85
1,51,31
1,60,29
0,71,69
1,27,16
1,89,53
1,29,20
1,47,38
0,87,76
0,40,61
1,6,14
1,39,28
1,61,35
1,12,16
1,15,8
0,61,82
1,84,46
1,29,17
0,56,83
0,82,81
0,35,80
1,40,40
1,61,19
1,66,29
1,57,50
1,20,22
0,70,64
1,47,16
0,94,74
0,64,76
1,74,21
1,47,27
1,36,8
1,29,17
1,1,20
1,19,22
1,46,13
1,33,46
1,34,4
1,53,40
0,58,69
1,14,17
1,81,29
0,86,82
0,84,83
1,2,3
1,53,25
0,99,75
1,83,41
1,74,41
0,96,69
1,76,25
1,64,10
0,89,70
1,15,31
1,27,23
1,98,28
0,91,65
0,74,76
1,59,33
0,49,75
1,62,18
1,92,38
1,56,23
1,25,27
0,95,87
1,9,8
1,92,30
1,89,38
1,61,35
1,34,16
0,87,71
0,70,75
0,75,87
1,83,38
1,56,21
1,61,41
1,64,39
1,94,42
1,72,36
0,71,78
1,98,41
0,77,71
0,73,79
0,56,64
1,27,32
0,70,86
1,37,15
1,41,24
0,60,72
1,90,39
1,72,16
1,36,15
1,44,10
0,97,82
1,35,15
1,64,25
1,10,19
1,54,21
1,88,32
1,20,29
1,69,30
1,44,14
1,27,20
1,41,11
1,54,25
0,71,66
1,44,28
1,93,28
0,57,73
1,24,24
0,93,80
0,89,73
0,98,85
0,62,83
1,49,31
1,37,23
0,89,66
1,95,2
1,46,21
0,56,77
0,81,75
1,32,32
0,96,77
1,60,49
1,47,26
1,48,41
1,17,18
1,79,9
0,88,73
1,86,47
1,45,36
1,42,36
0,90,81
1,82,12
1,23,27
1,44,28
1,24,23
0,74,75
1,84,28
0,49,69
1,49,24
0,71,90
1,7,5
1,50,21
1,47,21
1,69,23
0,48,50
1,34,26
0,79,70
1,95,39
0,55,62
1,69,43
0,93,78
1,23,10
0,82,96
1,34,18
1,29,36
0,77,78
0,81,73
1,57,31
1,6,18
1,92,37
1,15,23
1,77,28
1,97,32
1,68,46
1,63,23
1,11,19
0,85,68
0,89,71
0,93,76
1,81,11
0,58,79
0,70,76
1,79,18
0,77,73
1,17,15
0,48,71
0,87,79
0,94,65
1,70,8
0,95,76
0,76,77
1,34,46
0,79,71
1,99,23
0,82,64
0,71,90
1,55,9
0,74,77
1,26,18
1,23,27
1,58,40
1,5,25
0,75,71
0,79,87
0,74,81
1,87,37
1,11,2
1,0,4
0,80,78
1,51,34
1,57,24
1,52,27
0,73,81
1,69,26
1,39,18
1,20,24
1,89,35
1,68,11
1,8,15
1,36,19
0,74,92
1,47,29
0,76,83
0,99,77
0,94,60
0,59,93
0,89,87
0,81,74
0,76,68
1,71,32
1,49,42
1,85,40
1,37,34
1,47,25
1,11,12
0,69,84
1,59,25
1,35,26
1,26,26
0,74,81
1,95,35
1,46,7
1,17,27
0,78,70
0,63,62
0,86,82
1,24,39
1,98,17
0,69,77
0,56,72
1,27,14
1,58,20
0,92,85
0,61,73
0,84,79
0,58,73
1,71,43
1,64,41
1,75,34
0,60,86
1,45,10
0,60,71
1,39,21
1,55,31
1,63,25
0,75,74
0,64,76
1,65,19
1,40,31
1,84,16
1,77,15
0,96,74
0,62,77
0,85,73
1,46,31
0,67,69
1,28,27
1,34,17
1,36,22
1,44,30
1,38,22
1,92,70
0,74,73
1,31,35
1,42,21
1,5,23
1,16,13
1,25,12
0,76,92
1,60,32
1,57,31
0,97,85
0,78,81
1,34,34
0,67,81
0,81,70
0,77,67
1,55,23
0,84,83
1,97,7
1,57,24
1,37,23
1,96,39
1,33,30
1,68,40
0,54,84
1,76,22
0,74,78
0,97,78
1,38,23
0,90,77
1,86,22
0,63,75
0,59,79
0,68,76
1,39,8
0,87,87
1,43,26
1,12,8
1,9,14
0,67,80
1,48,13
0,89,77
1,48,38
1,78,40
1,24,47
1,22,11
0,91,92
1,23,36
1,13,22
1,50,22
0,94,77
1,53,31
1,6,10
1,78,21
1,75,46
0,63,78
1,88,34
1,66,19
0,77,77
1,21,21
1,76,32
1,12,16
1,39,23
1,78,40
1,32,23
1,46,6
0,91,72
1,21,12
0,54,85
1,48,14
0,94,78
1,11,4
1,66,43
1,54,41
1,37,13
0,83,84
1,90,29
0,66,76
1,63,42
1,83,38
0,58,69
1,53,32
0,93,78
0,70,79
1,56,7
1,20,17
0,79,74
0,67,64
1,23,15
0,74,86
0,68,67
1,50,41
1,18,20
0,74,79
1,85,43
0,52,75
1,51,21
0,69,77
1,35,44
1,97,7
1,5,20
1,76,42
1,84,8
1,59,47
0,85,78
1,49,25
1,54,30
1,72,35
1,44,30
1,33,1
0,98,73
1,59,21
0,64,84
0,78,78
1,56,31
1,42,28
0,89,72
0,89,86
1,21,8
0,77,88
0,96,82
1,96,24
0,55,73
1,89,42
1,29,33
1,42,26
0,71,60
0,89,75
0,51,79
1,28,29
1,47,12
0,76,86
1,12,47
1,15,23
1,10,27
1,57,45
0,66,70
1,0,23
1,71,23
0,59,79
1,64,1
0,77,85
1,43,32
0,68,84
0,68,83
1,98,32
1,97,21
0,84,75
1,26,1
0,82,84
1,33,33
0,88,83
0,72,86
1,31,22
1,77,39
0,99,81
0,60,85
0,57,65
0,72,80
0,97,87
1,74,30
1,68,24
1,79,18
1,83,30
1,73,36
1,53,47
0,74,70
1,3,12
0,77,71
0,66,65
0,61,76
1,66,26
0,79,77
0,88,70
1,71,21
1,21,31
0,96,88
0,68,84
1,88,53
1,71,17
0,65,76
1,65,26
1,86,43
1,30,21
1,13,21
1,41,30
1,18,29
0,76,74
1,78,21
1,85,27
1,44,36
0,91,82
0,55,69
1,35,9
1,71,20
1,23,27
1,61,20
0,56,62
1,70,27
1,73,18
0,63,79
1,81,15
1,48,38
1,73,45
1,53,33
1,83,24
0,62,78
0,87,70
0,92,80
1,80,30
1,53,13
0,92,90
0,77,61
0,89,72
1,35,25
1,25,4
0,95,80
1,13,34
1,32,23
1,45,22
1,68,40
0,84,72
0,60,82
1,61,10
1,12,25
0,56,75
1,38,33
1,91,24
1,36,35
0,73,71
1,74,26
0,72,66
0,90,76
1,65,35
1,93,32
1,87,35
1,10,12
0,72,66
1,76,19
1,6,24
1,33,17
1,42,3
0,97,76
0,67,84
0,73,77
1,14,23
1,51,18
0,95,70
1,14,13
0,75,70
1,55,17
0,80,77
1,3,16
1,48,15
1,40,24
1,61,27
1,40,18
0,73,81
1,33,27
0,56,74
1,38,36
1,41,23
1,85,53
0,80,88
1,8,17
1,47,28
1,65,48
1,25,27
1,99,34
1,86,34
0,53,86
0,65,72
1,74,36
1,52,40
0,64,50
1,2,7
1,99,9
0,88,86
1,52,21
0,76,78
1,70,30
1,18,47
0,74,84
0,98,68
1,40,19
1,55,30
0,79,74
0,92,63
1,37,40
0,75,79
1,14,9
1,19,9
1,22,26
0,69,83
0,31,78
0,52,78
1,14,14
1,33,16
0,70,75
1,31,30
1,93,24
1,93,26
0,43,77
1,35,21
0,64,67
1,56,22
1,10,28
1,58,47
1,26,40
0,95,81
0,66,71
1,21,16
1,91,21
0,84,93
0,64,76
1,49,46
0,30,74
0,57,79
1,36,6
0,78,86
0,64,74
1,0,26
0,63,74
1,66,33
0,73,76
0,85,81
1,96,37
0,67,75
1,30,17
1,78,36
0,91,73
1,44,22
1,90,26
1,51,10
1,25,25
0,87,82
0,60,76
1,29,31
1,84,34
1,84,8
1,30,2
1,54,33
0,84,76
1,36,42
1,33,24
1,36,17
0,78,85
1,41,29
1,75,24
1,38,5
1,60,10
0,71,75
1,67,16
0,96,73
0,50,76
0,78,62
1,13,13
1,40,18
1,26,18
0,89,76
1,99,19
0,55,78
1,32,29
0,79,65
0,43,66
0,81,75
0,64,78
1,64,42
0,80,77
0,74,81
1,54,37
1,19,5
1,0,24
1,75,26
0,68,82
0,89,65
0,86,83
1,76,27
0,70,78
0,93,80
0,64,71
1,44,38
1,65,28
1,74,33
0,55,61
1,82,32
1,20,24
0,67,70
0,55,72
1,72,47
1,12,19
1,25,28
0,63,70
0,77,72
1,16,17
0,51,69
1,33,26
1,91,40
1,11,14
0,90,89
0,73,63
1,18,28
1,62,28
1,40,18
1,29,32
0,82,77
0,88,85
1,25,25
0,91,64
1,23,6
1,53,26
0,86,64
1,84,9
1,15,15
0,76,73
0,92,66
1,44,15
0,79,80
1,31,22
1,60,36
0,95,88
1,73,45
1,28,38
0,71,64
0,73,70
1,36,44
0,71,75
0,68,59
1,80,30
1,52,4
0,49,54
1,18,18
0,71,76
1,8,20
1,9,24
1,65,31
0,79,71
1,59,18
1,57,24
1,69,48
0,45,89
1,29,36
0,91,73
1,18,17
0,64,74
1,60,39
0,94,71
1,31,37
1,8,20
1,76,38
0,81,80
0,96,74
1,21,23
1,51,29
0,81,75
1,64,6
1,7,14
1,59,27
1,7,6
0,78,74
0,64,82
0,60,73
1,27,37
1,61,6
0,93,83
0,68,82
0,61,79
0,99,74
1,68,12
0,72,75
0,84,73
1,83,26
0,65,75
0,84,75
1,28,13
0,48,64
1,31,26
1,62,47
1,26,13
1,73,31
0,88,67
1,92,40
1,80,31
1,99,39
0,73,82
0,71,82
1,60,4
0,64,88
1,55,36
1,98,38
1,41,33
1,12,18
1,84,23
0,83,77
1,50,27
1,44,13
1,61,33
1,82,52
0,90,75
0,82,86
1,60,33
1,63,44
0,79,85
1,21,1
0,71,74
1,14,12
1,67,22
1,69,7
0,80,84
0,86,79
1,67,27
1,62,16
1,41,41
0,96,81
1,51,40
0,90,91
0,99,65
1,30,44
0,82,77
0,69,66
0,98,74
0,69,77
0,80,71
1,75,24
0,55,77
0,97,84
1,79,1
0,84,73
1,73,55
1,48,37
0,87,70
1,81,32
0,76,79
1,76,48
1,42,40
0,86,73
0,85,75
1,76,37
0,42,75
0,95,85
1,37,42
1,92,17
1,29,19
1,9,22
1,47,40
1,51,44
0,80,77
1,50,27
0,74,71
0,84,79
1,3,8
0,94,75
0,95,94
1,48,23
1,69,26
1,18,13
1,30,40
1,46,38
1,54,20
0,51,71
1,59,29
1,55,37
1,19,23
1,88,31
0,74,87
0,83,82
1,44,28
0,88,87
0,86,70
0,84,80
1,48,17
1,7,15
1,22,5
0,54,80
1,13,28
0,79,83
1,80,49
0,79,72
1,23,31
1,46,35
1,52,7
1,76,32
0,35,71
0,66,84
1,1,24
0,89,83
0,81,75
1,65,29
1,33,16
1,68,42
1,69,37
1,17,4
1,52,28
1,51,29
1,67,34
1,31,34
0,90,82
1,48,29
1,53,22
0,84,72
0,91,88
0,52,71
0,98,83
1,70,24
1,92,59
1,86,48
1,72,29
1,92,26
1,69,28
1,12,16
1,69,7
0,63,73
0,55,70
1,20,27
1,1,18
0,85,82
1,31,15
1,28,25
0,55,80
0,65,76
1,68,38
0,87,78
1,51,22
1,5,12
1,82,37
0,72,71
0,79,83
1,20,35
0,69,83
1,77,23
1,24,6
1,82,32
0,47,69
0,82,77
1,99,29
1,24,7
0,41,78
1,93,38
0,72,74
1,58,44
1,76,18
0,93,76
0,95,82
0,53,65
0,73,73
0,95,81
1,46,44
1,72,36
1,54,19
1,53,47
0,87,77
1,35,15
0,62,86
1,10,21
0,80,87
1,7,25
0,91,85
1,42,34
1,41,28
1,72,20
0,75,75
0,79,86
1,75,21
0,86,85
0,75,72
0,92,82
1,78,25
1,35,30
1,15,15
0,73,85
1,21,25
1,48,53
1,51,14
1,91,17
1,7,2
1,69,39
0,77,77
1,56,35
1,43,14
1,74,34
0,69,88
1,50,20
0,76,90
0,50,75
0,95,78
1,42,21
0,71,77
1,43,12
1,18,1
1,50,8
1,69,34
0,39,72
0,46,76
0,62,79
0,68,74
1,27,30
0,52,76
1,61,35
0,73,99
0,70,84
0,71,73
1,56,8
1,57,27
0,81,77
1,33,25
1,33,33
1,60,57
1,27,39
1,0,14
1,32,26
1,36,13
1,83,45
0,82,87
0,73,84
1,67,18
1,53,28
1,48,15
1,25,24
1,44,26
1,2,13
1,11,23
1,32,18
0,62,79
0,69,78
0,80,70
0,73,68
1,95,44
1,31,17
1,28,34
1,65,6
0,97,77
0,47,79
1,48,7
1,60,24
1,51,21
0,56,77
0,65,79
0,68,76
1,49,18
0,70,70
1,22,11
1,32,28
1,19,4
1,2,20
1,66,23
1,70,33
1,83,22
1,19,26
1,3,10
1,60,4
1,30,7
0,65,82
0,84,76
1,43,35
1,3,13
1,36,22
1,59,39
1,39,35
1,57,13
1,51,6
1,28,8
1,68,25
1,69,27
0,89,77
0,78,83
0,89,89
1,68,35
1,46,18
0,75,79
0,75,64
0,84,74
0,58,79
1,70,33
0,68,70
1,38,7
1,80,24
0,57,90
0,67,85
1,91,34
1,86,9
0,91,72
1,33,12
0,66,80
0,94,80
0,75,83
1,75,23
1,10,32
0,52,70
0,74,66
0,88,66
0,71,87
1,36,16
1,46,36
0,79,81
0,79,70
1,65,58
1,50,28
1,82,39
1,18,18
1,11,22
1,58,27
1,96,25
1,40,15
0,98,80
0,81,82
1,36,14
1,8,25
1,39,17
0,89,91
0,89,84
0,91,77
1,82,47
0,81,67
1,42,29
0,83,82
1,59,21
1,55,17
1,13,24
0,69,74
1,34,23
0,84,84
0,87,73
1,84,32
1,57,26
1,73,19
0,87,68
1,46,48
0,93,79
0,70,74
0,84,78
1,1,17
1,30,27
1,2,11
1,20,28
0,89,74
1,85,31
1,46,27
1,11,13
1,73,44
1,73,39
1,17,15
1,17,28
0,81,97
1,95,17
1,3,11
1,75,39
0,77,77
0,94,70
1,62,38
0,89,87
1,40,7
0,87,68
1,31,36
1,46,9
1,33,15
1,64,28
1,33,32
0,79,75
1,97,23
1,76,17
1,9,27
1,11,35
1,59,50
1,14,6
1,32,23
1,20,18
1,76,4
1,58,25
1,46,22
1,75,6
1,69,27
1,56,31
1,55,43
0,69,65
0,77,69
1,10,31
1,32,30
1,7,14
1,55,33
1,2,22
0,61,69
1,21,23
0,46,53
0,64,68
1,0,19
0,65,81
1,31,38
1,48,13
1,17,26
0,61,74
0,80,76
0,90,72
0,83,84
1,65,45
1,20,18
1,82,18
0,97,71
1,47,34
1,65,35
1,84,35
0,47,75
1,65,26
1,34,33
0,93,73
1,43,32
0,79,83
1,80,29
0,65,81
1,26,11
1,2,13
1,56,21
1,46,27
1,51,23
0,77,72
1,20,9
1,98,35
0,59,74
0,51,76
1,29,12
0,58,77
0,74,70
1,48,52
0,83,77
1,9,17
0,95,73
0,70,76
1,15,5
1,93,16
0,66,96
1,16,5
1,14,14
1,51,31
1,90,12
0,95,77
1,75,18
1,44,30
1,51,33
1,75,36
1,26,27
1,27,12
0,98,68
1,48,3
1,90,48
1,29,19
1,41,11
0,57,72
0,76,85
1,17,27
1,73,13
0,89,85
1,80,32
1,31,23
1,39,21
0,88,75
0,84,79
0,82,79
0,91,61
1,42,5
1,61,31
1,35,24
0,80,79
0,84,79
0,74,84
0,80,86
0,82,80
1,69,5
0,75,73
1,58,15
1,24,17
0,87,70
1,50,46
0,79,68
1,69,29
1,11,9
1,33,24
1,45,10
1,96,22
1,42,22
1,31,33
0,53,84
1,29,16
1,90,27
0,53,72
1,33,18
0,97,75
0,88,75
0,92,82
1,27,21
0,71,78
0,78,75
0,85,62
0,77,69
1,14,24
0,96,71
1,46,29
1,45,21
1,71,53
0,64,69
1,95,53
1,30,30
1,66,33
0,66,78
1,65,40
1,67,34
0,83,79
1,6,20
1,57,36
0,72,70
1,55,59
1,32,12
1,66,24
1,60,0
0,84,74
1,66,24
1,41,22
0,46,76
1,94,40
1,23,10
0,59,74
0,90,69
1,87,21
1,3,12
1,58,24
1,10,18
1,96,21
1,75,28
1,35,35
1,91,23
1,95,20
1,6,28
0,57,79
0,75,66
0,97,73
1,5,38
0,84,72
1,4,2
1,1,17
1,22,27
1,37,18
1,66,31
0,97,82
1,29,14
1,72,56
0,54,72
1,14,17
1,92,33
1,59,49
1,31,17
0,99,84
0,80,75
1,98,25
1,81,30
0,66,82
1,73,26
0,34,62
0,79,78
0,87,71
1,17,17
0,79,70
1,39,37
1,2,7
0,68,83
1,68,21
1,89,20
0,92,87
1,66,34
0,86,82
1,53,22
1,53,20
0,71,73
0,94,71
1,6,18
0,58,77
1,3,7
1,43,26
1,94,8
1,98,15
0,74,85
0,64,77
1,25,11
0,98,95
1,3,3
1,61,13
1,77,16
1,84,51
0,77,89
0,63,57
1,26,23
1,6,20
1,24,17
1,54,32
1,47,29
1,74,33
1,60,13
1,73,41
1,28,7
1,1,8
1,68,14
0,56,86
1,74,30
1,72,24
0,74,82
1,35,11
1,95,2
1,98,57
0,47,61
1,0,2
1,45,13
0,54,90
1,72,45
0,56,85
0,87,88
1,64,29
1,57,20
1,0,22
0,60,72
1,50,19
1,54,40
1,70,23
1,37,29
1,84,16
1,24,4
1,29,9
1,5,29
1,87,29
0,76,78
0,77,61
1,29,14
0,96,75
1,56,24
1,10,13
1,82,22
1,76,32
0,45,74
1,84,16
1,30,16
1,34,16
1,53,23
1,22,12
0,79,86
0,81,75
1,14,11
1,43,24
1,21,9
0,87,76
0,48,73
0,93,76
1,92,24
0,89,84
0,89,65
0,94,82
1,71,34
1,44,33
0,79,73
0,76,87
0,73,82
1,18,11
0,89,81
0,64,69
0,57,75
0,80,78
0,64,67
1,19,3
1,28,25
1,68,23
0,88,80
0,87,68
0,91,78
1,96,35
0,56,68
1,62,11
0,90,74
1,81,32
1,87,27
0,74,69
0,91,84
0,96,79
1,95,20
0,56,81
1,19,11
1,86,35
1,90,21
0,96,74
0,84,74
1,49,33
1,78,35
1,3,14
1,90,49
0,65,71
0,94,61
1,5,9
1,19,25
1,53,28
0,81,88
1,62,49
0,85,63
1,28,41
1,81,14
1,78,41
1,41,18
1,62,29
1,67,27
1,94,36
0,90,79
1,43,29
1,29,13
0,82,69
1,64,40
1,21,9
0,81,75
1,22,9
0,76,84
1,59,41
1,98,12
1,83,24
0,57,84
0,79,84
1,69,25
1,32,21
0,77,69
0,84,77
1,38,20
0,67,64
0,96,73
0,90,76
0,83,76
1,11,11
1,77,44
0,69,76
1,61,37
1,69,32
0,82,72
0,80,60
1,52,20
1,21,11
1,72,14
1,8,25
1,25,18
1,92,20
0,79,96
1,62,23
1,12,19
1,99,51
0,90,82
1,94,25
0,75,91
1,40,26
0,87,71
1,60,14
1,30,44
0,87,83
0,63,79
1,5,22
1,66,46
0,70,89
0,68,75
1,13,29
1,55,34
1,37,39
1,2,14
0,57,62
1,16,30
1,10,13
0,90,70
1,11,13
0,76,81
1,31,28
1,44,31
0,60,71
1,17,24
1,59,30
1,83,20
1,22,2
0,80,74
0,83,71
1,68,26
1,86,35
0,69,69
1,30,20
0,94,87
0,50,70
0,93,86
1,79,24
1,36,18
1,61,15
1,30,11
1,49,18
0,55,74
1,65,24
0,72,77
1,75,27
0,70,76
1,46,23
1,16,37
0,77,80
1,50,27
1,44,37
1,11,5
1,61,37
1,22,23
0,61,73
1,0,3
1,6,19
0,95,72
0,82,83
1,30,23
0,84,89
1,37,14
0,54,92
1,72,36
0,90,86
1,68,25
0,82,72
1,44,13
1,66,40
1,29,19
1,26,27
1,53,23
1,46,37
1,71,35
0,84,66
0,86,81
1,43,19
1,43,20
1,32,27
1,31,23
1,68,41
1,65,29
0,46,74
0,95,72
1,33,24
1,28,28
1,39,25
0,84,80
0,98,68
1,37,14
0,90,80
1,74,30
1,24,25
0,59,72
1,39,36
0,63,86
0,78,80
0,69,81
1,81,42
0,60,71
0,67,76
0,77,87
1,37,10
0,74,75
1,33,11
1,91,20
1,68,34
1,89,27
1,43,30
1,12,9
1,17,1
0,56,71
0,73,86
1,13,26
1,37,10
0,67,76
1,47,6
1,56,33
1,61,11
1,66,33
0,54,91
0,81,75
1,47,16
1,43,33
0,60,80
1,65,23
0,64,70
1,52,18
1,57,17
0,86,92
0,62,71
0,75,62
1,30,30
0,66,65
0,85,88
0,71,81
1,39,21
1,17,11
1,77,18
1,35,31
1,41,33
1,19,12
1,16,13
0,71,84
1,45,10
1,82,23
1,40,25
1,24,29
0,86,73
1,12,10
1,4,16
1,19,3
1,28,22
0,44,71
1,36,53
1,12,6
1,52,37
1,22,33
0,64,85
1,47,38
0,67,78
1,96,43
1,25,16
1,30,33
1,28,24
0,81,73
0,80,72
0,81,70
0,82,84
1,36,41
0,63,73
0,84,80
1,25,27
1,0,15
1,74,27
0,73,76
0,55,65
1,59,45
1,24,19
0,65,80
0,86,76
1,92,30
1,77,19
0,87,72
1,72,29
1,77,45
1,5,3
1,50,19
1,5,22
1,65,23
1,65,30
0,83,82
1,51,6
0,75,66
1,36,16
1,96,35
0,83,82
1,69,33
1,49,13
1,44,24
1,16,4
0,68,76
1,45,26
0,83,72
1,51,20
0,91,79
1,19,26
0,66,78
0,62,70
0,54,83
0,70,71
0,95,77
1,28,12
1,37,18
0,60,78
1,13,9
0,68,76
1,17,20
1,54,34
1,94,23
1,73,56
1,47,42
1,59,32
1,84,28
1,28,11
1,75,12
1,74,28
0,97,83
0,50,74
0,87,70
1,13,21
1,8,15
1,73,27
1,40,23
1,69,8
1,18,35
0,44,70
1,46,28
0,88,74
1,64,25
0,72,83
1,70,52
1,92,40
0,32,70
1,76,22
1,90,30
0,43,67
0,67,68
1,72,38
1,75,20
1,59,37
1,63,48
0,88,68
0,92,80
1,16,22
1,12,18
0,86,86
1,46,31
0,64,74
1,16,36
1,66,36
1,45,15
1,23,29
1,18,2
0,69,85
1,14,20
0,45,74
0,61,77
1,85,18
0,78,72
1,59,30
1,32,27
1,20,19
1,51,16
0,86,82
1,85,26
1,96,38
0,66,80
1,12,41
1,78,39
1,44,24
1,51,32
1,32,24
1,98,43
1,21,9
1,71,26
0,50,68
1,72,11
1,92,34
1,66,38
1,95,35
0,62,90
1,46,26
1,46,22
0,76,84
0,67,77
0,86,80
0,87,61
1,46,14
1,32,23
0,78,85
0,72,84
0,68,84
0,92,58
0,50,76
1,70,22
1,49,27
1,27,38
1,3,1
0,70,83
0,79,68
1,28,36
1,80,20
1,29,34
1,93,41
1,73,32
1,88,26
1,39,23
0,70,75
1,36,46
1,34,46
0,66,71
1,19,14
1,26,25
0,86,75
0,80,63
1,31,29
0,56,72
1,59,8
0,55,74
1,42,19
1,43,32
0,72,78
0,75,75
0,92,85
0,64,87
1,37,10
0,92,62
0,60,81
1,34,24
1,76,28
1,49,29
0,59,88
1,86,29
0,97,80
1,60,12
0,57,80
1,34,45
1,21,25
1,9,14
1,44,33
1,4,16
0,77,80
0,73,73
1,8,24
1,38,19
0,69,89
1,24,24
1,45,23
0,68,73
0,72,70
1,24,19
0,98,77
0,63,81
1,4,13
0,91,81
1,16,16
0,74,81
1,50,9
1,44,30
1,40,18
1,51,22
1,48,26
0,71,91
0,84,76
1,60,8
1,72,39
0,81,69
1,50,28
1,41,28
1,81,12
1,6,15
0,40,64
1,66,23
0,62,80
1,67,33
0,97,59
1,44,30
0,77,68
1,65,55
1,57,51
1,74,31
1,63,44
1,24,26
1,13,34
1,88,28
1,14,3
1,83,39
1,44,35
1,83,31
1,47,36
1,51,19
0,99,79
1,77,31
1,66,20
1,33,26
1,11,17
0,79,60
0,71,75
1,69,28
1,75,35
0,75,71
1,57,29
0,53,88
1,8,21
1,1,7
1,79,16
1,18,33
0,72,73
0,73,86
0,73,75
1,19,30
1,11,29
0,59,76
0,69,87
0,92,95
1,68,26
1,28,30
0,68,83
0,67,70
1,8,18
0,90,83
1,34,17
1,52,28
1,30,18
0,46,75
0,96,75
1,79,51
1,52,24
1,91,13
0,78,82
0,83,87
0,65,85
0,90,89
1,16,13
1,18,9
0,90,81
1,53,11
0,86,85
1,44,27
0,94,79
1,6,1
1,58,33
0,62,83
0,71,93
0,74,56
0,93,68
1,81,29
1,16,25
0,76,69
0,82,84
1,72,20
0,76,84
1,55,8
1,78,34
1,25,20
1,44,30
0,95,68
1,50,44
0,90,72
1,41,35
0,91,62
1,50,35
0,82,77
1,76,14
0,52,87
0,87,77
1,3,17
1,27,14
1,12,37
0,83,79
1,78,28
1,62,32
1,15,20
1,50,23
0,89,69
0,59,69
1,80,38
1,71,40
1,15,21
1,70,15
1,5,5
0,75,74
0,81,70
0,68,71
0,51,74
1,91,57
1,27,24
0,72,89
0,58,76
0,70,66
1,60,29
1,77,2
1,20,30
1,57,28
0,65,69
1,5,18
1,10,16
1,2,25
1,20,37
1,90,23
1,68,20
0,77,62
1,56,8
1,23,20
0,73,69
1,56,26
1,68,22
1,19,17
1,34,22
1,35,17
0,76,67
0,64,75
1,21,18
1,71,19
0,67,70
1,46,45
1,30,10
0,83,91
1,36,36
0,65,78
1,7,10
1,57,33
1,36,23
0,88,92
1,60,26
0,92,78
0,60,64
1,53,22
0,77,82
0,90,76
1,75,33
1,66,33
0,63,75
1,52,4
1,50,27
1,80,30
0,84,72
0,97,71
1,74,16
0,70,91
1,50,21
1,45,6
1,4,16
1,9,25
1,39,33
1,21,17
1,3,22
0,90,84
1,56,6
1,72,49
1,66,14
1,20,25
1,74,48
1,42,27
1,47,44
1,49,10
1,74,25
1,57,26
1,61,25
1,40,54
0,83,78
1,58,51
0,94,74
0,80,81
1,69,47
1,46,39
1,38,5
1,48,29
1,29,28
1,78,26
0,61,68
0,81,67
1,67,35
1,45,37
0,82,76
1,39,19
0,68,74
0,71,82
1,72,40
1,68,14
1,74,38
1,94,16
0,94,82
0,84,75
1,41,12
0,91,84
1,2,11
1,4,11
1,40,4
0,90,80
0,73,64
1,85,24
0,98,80
0,93,87
1,86,32
1,34,21
0,81,69
1,71,30
0,82,84
1,81,39
0,58,68
0,54,63
1,75,55
0,78,78
1,10,4
1,77,18
1,36,27
1,59,33
1,26,25
1,51,17
0,98,67
0,76,76
1,40,36
1,44,38
1,26,28
1,70,26
0,84,82
0,65,76
1,51,38
1,65,39
0,80,72
1,69,25
1,19,17
1,68,33
1,45,4
1,24,15
1,59,18
0,82,98
0,90,66
0,40,81
1,47,29
0,88,79
1,30,11
0,71,72
1,3,18
1,41,27
1,56,40
1,38,24
1,97,18
1,59,16
0,92,79
0,38,71
1,31,42
0,82,77
1,61,3
0,54,71
0,63,77
0,80,84
0,90,87
1,7,23
1,41,28
1,42,36
0,98,81
0,58,86
0,84,70
1,47,24
1,27,21
1,24,16
1,54,26
0,93,80
0,83,74
1,22,24
0,96,84
0,72,73
0,61,80
0,59,68
0,83,78
0,74,96
1,48,13
0,70,81
0,66,76
0,62,59
0,84,76
1,99,49
1,74,1
1,71,27
0,82,80
0,68,77
0,40,82
1,55,0
0,67,89
1,16,19
1,49,28
1,95,31
0,67,71
1,57,56
1,45,43
1,31,25
1,54,27
0,72,78
0,80,82
1,62,35
0,89,82
0,93,70
1,81,16
1,54,15
0,87,67
0,71,76
1,57,15
1,63,30
1,18,18
1,50,26
1,30,18
1,49,13
1,28,36
1,29,19
1,97,34
0,76,82
0,69,91
1,59,25
1,74,14
1,1,12
0,63,83
1,32,13
1,69,24
0,61,81
1,35,18
0,93,71
1,0,4
0,83,79
1,19,18
1,9,15
1,76,22
0,94,71
1,61,47
1,52,31
0,79,82
1,8,31
0,84,75
0,81,79
0,84,89
0,97,82
1,72,31
1,41,18
1,32,8
